iso3c;long;lat;region;country;country_weapons;country_migrations;country_hdi
HRV;15.9614;45.8069;Europe & Central Asia;Croatia;Croatia;Croatia; Croatia
CUB;-82.3667;23.1333;Latin America & Caribbean ;Cuba;Cuba;Cuba; Cuba
CUB;-82.3667;23.1333;Latin America & Caribbean ;Cuba;Anti-Castro rebels (Cuba)*;;
CUW;;;Latin America & Caribbean ;Curacao;;Curaçao;
CYP;33.3736;35.1676;Europe & Central Asia;Cyprus;Cyprus;Cyprus; Cyprus
CYP;33.3736;35.1676;Europe & Central Asia;Cyprus;Northern Cyprus;;
CZE;14.4205;50.0878;Europe & Central Asia;Czech Republic;Czech Republic;Czechia; Czechia
DNK;12.5681;55.6763;Europe & Central Asia;Denmark;Denmark;Denmark; Denmark
DJI;43.1425;11.5806;Middle East & North Africa;Djibouti;Djibouti;Djibouti; Djibouti
DMA;-61.39;15.2976;Latin America & Caribbean ;Dominica;Dominican Republic;Dominica; Dominica
DOM;-69.8908;18.479;Latin America & Caribbean ;Dominican Republic;;Dominican Republic; Dominican Republic
ECU;-78.5243;-0.229498;Latin America & Caribbean ;Ecuador;Ecuador;Ecuador; Ecuador
EGY;31.2461;30.0982;Middle East & North Africa;Egypt, Arab Rep,;Egypt;Egypt; Egypt
SLV;-89.2073;13.7034;Latin America & Caribbean ;El Salvador;El Salvador;El Salvador; El Salvador
SLV;-89.2073;13.7034;Latin America & Caribbean ;El Salvador;FMLN (El Salvador)*;;
GNQ;8.7741;3.7523;Sub-Saharan Africa ;Equatorial Guinea;Equatorial Guinea;Equatorial Guinea; Equatorial Guinea
ERI;38.9183;15.3315;Sub-Saharan Africa ;Eritrea;Eritrea;Eritrea; Eritrea
EST;24.7586;59.4392;Europe & Central Asia;Estonia;Estonia;Estonia; Estonia
SWZ;31.4659;-26.5225;Sub-Saharan Africa ;Eswatini;Swaziland;Swaziland; Eswatini (Kingdom of)
ETH;38.7468;9.02274;Sub-Saharan Africa ;Ethiopia;Ethiopia;Ethiopia; Ethiopia
ETH;38.7468;9.02274;Sub-Saharan Africa ;Ethiopia;African Union**;;
ETH;38.7468;9.02274;Sub-Saharan Africa ;Ethiopia;ELF (Ethiopia)*;;
ETH;38.7468;9.02274;Sub-Saharan Africa ;Ethiopia;EPLF (Ethiopia)*;;
FRO;-6.91181;61.8926;Europe & Central Asia;Faroe Islands;;Faeroe Islands;
FJI;178.399;-18.1149;East Asia & Pacific;Fiji;Fiji;Fiji; Fiji
FIN;24.9525;60.1608;Europe & Central Asia;Finland;Finland;Finland; Finland
FRA;2.35097;48.8566;Europe & Central Asia;France;France;France; France
FRA;2.35097;48.8566;Europe & Central Asia;France;;Wallis and Futuna Islands;
FRA;2.35097;48.8566;Europe & Central Asia;France;Viet Minh (France)*;French Guiana;
FRA;2.35097;48.8566;Europe & Central Asia;France;;Guadeloupe;
FRA;2.35097;48.8566;Europe & Central Asia;France;;Martinique;
FRA;2.35097;48.8566;Europe & Central Asia;France;;Mayotte;
FRA;2.35097;48.8566;Europe & Central Asia;France;;Réunion;
FRA;2.35097;48.8566;Europe & Central Asia;France;;Saint Pierre and Miquelon;
FRA;2.35097;48.8566;Europe & Central Asia;France;;Saint Vincent and the Grenadines;
PYF;-149.57;-17.535;East Asia & Pacific;French Polynesia;;French Polynesia;
GAB;9.45162;0.38832;Sub-Saharan Africa ;Gabon;Gabon;Gabon; Gabon
GMB;-16.5885;13.4495;Sub-Saharan Africa ;Gambia, The;Gambia;Gambia; Gambia
GEO;44.793;41.71;Europe & Central Asia;Georgia;Georgia;Georgia; Georgia
DEU;13.4115;52.5235;Europe & Central Asia;Germany;;Germany; Germany
GHA;-0.20795;5.57045;Sub-Saharan Africa ;Ghana;Ghana;Ghana; Ghana
GIB;;;Europe & Central Asia;Gibraltar;;Gibraltar;
GRC;23.7166;37.9792;Europe & Central Asia;Greece;Greece;Greece; Greece
GRL;-51.7214;64.1836;Europe & Central Asia;Greenland;;Greenland;
GRD;-61.7449;12.0653;Latin America & Caribbean ;Grenada;Grenada;Grenada; Grenada
GUM;144.794;13.4443;East Asia & Pacific;Guam;;Guam;
GTM;-90.5328;14.6248;Latin America & Caribbean ;Guatemala;Guatemala;Guatemala; Guatemala
GTM;-90.5328;14.6248;Latin America & Caribbean ;Guatemala;Armas (Guatemala)*;Guinea;
GIN;-13.7;9.51667;Sub-Saharan Africa ;Guinea;Guinea;Guinea-Bissau; Guinea
GNB;-15.1804;11.8037;Sub-Saharan Africa ;Guinea-Bissau;Guinea-Bissau;; Guinea-Bissau
GUY;-58.1548;6.80461;Latin America & Caribbean ;Guyana;Guyana;Guyana; Guyana
HTI;-72.3288;18.5392;Latin America & Caribbean ;Haiti;Haiti;Haiti; Haiti
HTI;-72.3288;18.5392;Latin America & Caribbean ;Haiti;Haiti rebels*;;
HND;-87.4667;15.1333;Latin America & Caribbean ;Honduras;Honduras;Honduras; Honduras
HKG;114.109;22.3964;East Asia & Pacific;Hong Kong SAR, China;;China, Hong Kong SAR; Hong Kong, China (SAR)
HUN;19.0408;47.4984;Europe & Central Asia;Hungary;Hungary;Hungary; Hungary
ISL;-21.8952;64.1353;Europe & Central Asia;Iceland;Iceland;Iceland; Iceland
IND;77.225;28.6353;South Asia;India;India;India; India
IDN;106.83;-6.19752;East Asia & Pacific;Indonesia;Indonesia;Indonesia; Indonesia
IRN;51.4447;35.6878;Middle East & North Africa;Iran, Islamic Rep,;Iran;Iran (Islamic Republic of); Iran (Islamic Republic of)
IDN;106.83;-6.19752;East Asia & Pacific;Indonesia;Indonesia rebels*;;
IRQ;44.394;33.3302;Middle East & North Africa;Iraq;Iraq;Iraq; Iraq
IRL;-6.26749;53.3441;Europe & Central Asia;Ireland;Ireland;Ireland; Ireland
IMN;-4.47928;54.1509;Europe & Central Asia;Isle of Man;;Isle of Man;
ISR;35.2035;31.7717;Middle East & North Africa;Israel;Israel;Israel; Israel
ISR;35.2035;31.7717;Middle East & North Africa;Israel;PLO (Israel)*;;
ISR;35.2035;31.7717;Middle East & North Africa;Israel;PRC (Israel/Palestine)*;;
ISR;35.2035;31.7717;Middle East & North Africa;Israel;PIJ (Israel/Palestine)*;;
PLT;;;Middle East & North Africa;Palestine;Hamas (Palestine)*;; Palestine, State of
PLT;;;Middle East & North Africa;Palestine;Palestine;State of Palestine;
ITA;12.4823;41.8955;Europe & Central Asia;Italy;Italy;;
ITA;12.4823;41.8955;Europe & Central Asia;Italy;Saint Vincent;Italy; Italy
JAM;-76.792;17.9927;Latin America & Caribbean ;Jamaica;Jamaica;Jamaica; Jamaica
JPN;139.77;35.67;East Asia & Pacific;Japan;Japan;Japan; Japan
JOR;35.9263;31.9497;Middle East & North Africa;Jordan;Jordan;Jordan; Jordan
KAZ;71.4382;51.1879;Europe & Central Asia;Kazakhstan;Kazakhstan;Kazakhstan; Kazakhstan
KEN;36.8126;-1.27975;Sub-Saharan Africa ;Kenya;Kenya;Kenya; Kenya
KIR;172.979;1.32905;East Asia & Pacific;Kiribati;Kiribati;Kiribati; Kiribati
PRK;125.754;39.0319;East Asia & Pacific;Korea, Dem, People’s Rep,;South Korea;Dem. People's Republic of Korea; Korea (Republic of)
KOR;126.957;37.5323;East Asia & Pacific;Korea, Rep,;North Korea;Republic of Korea;
XKX;20.926;42.565;Europe & Central Asia;Kosovo;Kosovo;;
KWT;47.9824;29.3721;Middle East & North Africa;Kuwait;Kuwait;Kuwait; Kuwait
KGZ;74.6057;42.8851;Europe & Central Asia;Kyrgyz Republic;Kyrgyzstan;Kyrgyzstan; Kyrgyzstan
LAO;102.177;18.5826;East Asia & Pacific;Lao PDR;Laos;Lao People's Democratic Republic; Lao People's Democratic Republic
LAO;102.177;18.5826;East Asia & Pacific;Lao PDR;Pathet Lao (Laos)*;;
LVA;24.1048;56.9465;Europe & Central Asia;Latvia;Latvia;Latvia; Latvia
LBN;35.5134;33.8872;Middle East & North Africa;Lebanon;Lebanon;Lebanon; Lebanon
LBN;35.5134;33.8872;Middle East & North Africa;Lebanon;Lebanon Palestinian rebels*;;
LBN;35.5134;33.8872;Middle East & North Africa;Lebanon;LF (Lebanon)*;;
LBN;35.5134;33.8872;Middle East & North Africa;Lebanon;Amal (Lebanon)*;;
LBN;35.5134;33.8872;Middle East & North Africa;Lebanon;SLA (Lebanon)*;;
LBN;35.5134;33.8872;Middle East & North Africa;Lebanon;Hezbollah (Lebanon)*;;
LSO;27.7167;-29.5208;Sub-Saharan Africa ;Lesotho;Lesotho;Lesotho; Lesotho
LBR;-10.7957;6.30039;Sub-Saharan Africa ;Liberia;Liberia;Liberia; Liberia
LBY;13.1072;32.8578;Middle East & North Africa;Libya;Libya;Libya; Libya
LBY;13.1072;32.8578;Middle East & North Africa;Libya;Libya GNC;;
LBY;13.1072;32.8578;Middle East & North Africa;Libya;Libya HoR;;
LBY;13.1072;32.8578;Middle East & North Africa;Libya;NTC (Libya)*;;
LIE;9.52148;47.1411;Europe & Central Asia;Liechtenstein;;Liechtenstein; Liechtenstein
LTU;25.2799;54.6896;Europe & Central Asia;Lithuania;Lithuania;Lithuania; Lithuania
LUX;6.1296;49.61;Europe & Central Asia;Luxembourg;Luxembourg;Luxembourg; Luxembourg
MAC;113.55;22.1667;East Asia & Pacific;Macao SAR, China;;China, Macao SAR;
MDG;45.7167;-20.4667;Sub-Saharan Africa ;Madagascar;Madagascar;Madagascar; Madagascar
MWI;33.7703;-13.9899;Sub-Saharan Africa ;Malawi;Malawi;Malawi; Malawi
MYS;101.684;3.12433;East Asia & Pacific;Malaysia;Malaysia;Malaysia; Malaysia
MDV;73.5109;4.1742;South Asia;Maldives;Maldives;Maldives; Maldives
MLI;-7.50034;13.5667;Sub-Saharan Africa ;Mali;Mali;Mali; Mali
MLT;14.5189;35.9042;Middle East & North Africa;Malta;Malta;Malta; Malta
MHL;171.135;7.11046;East Asia & Pacific;Marshall Islands;Marshall Islands;Marshall Islands; Marshall Islands
MRT;-15.9824;18.2367;Sub-Saharan Africa ;Mauritania;Mauritania;Mauritania; Mauritania
MUS;57.4977;-20.1605;Sub-Saharan Africa ;Mauritius;Mauritius;Mauritius; Mauritius
MEX;-99.1276;19.427;Latin America & Caribbean ;Mexico;Mexico;Mexico; Mexico
FSM;158.185;6.91771;East Asia & Pacific;Micronesia, Fed, Sts,;Micronesia;Micronesia (Fed. States of); Micronesia (Federated States of)
MDA;28.8497;47.0167;Europe & Central Asia;Moldova;Moldova;Republic of Moldova; Moldova (Republic of)
MCO;7.41891;43.7325;Europe & Central Asia;Monaco;;Monaco;
MNG;106.937;47.9129;East Asia & Pacific;Mongolia;Mongolia;Mongolia; Mongolia
MNE;19.2595;42.4602;Europe & Central Asia;Montenegro;Montenegro;Montenegro; Montenegro
MAR;-6.8704;33.9905;Middle East & North Africa;Morocco;Morocco;Morocco; Morocco
MOZ;32.5713;-25.9664;Sub-Saharan Africa ;Mozambique;Mozambique;Mozambique; Mozambique
MMR;95.9562;21.914;East Asia & Pacific;Myanmar;Myanmar;Myanmar; Myanmar
MMR;95.9562;21.914;East Asia & Pacific;Myanmar;United Wa State (Myanmar)*;;
MMR;95.9562;21.914;East Asia & Pacific;Myanmar;MTA (Myanmar)*;;
NAM;17.0931;-22.5648;Sub-Saharan Africa ;Namibia;Namibia;Namibia; Namibia
NRU;166.920867;-0.5477;East Asia & Pacific;Nauru;;Nauru;
NPL;85.3157;27.6939;South Asia;Nepal;Nepal;Nepal; Nepal
NLD;4.89095;52.3738;Europe & Central Asia;Netherlands;Netherlands;Netherlands; Netherlands
NCL;166.464;-22.2677;East Asia & Pacific;New Caledonia;;New Caledonia;
NZL;174.776;-41.2865;East Asia & Pacific;New Zealand;New Zealand;New Zealand; New Zealand
NZL;174.776;-41.2865;East Asia & Pacific;New Zealand;;Cook Islands;
NZL;174.776;-41.2865;East Asia & Pacific;New Zealand;;Niue;
NZL;174.776;-41.2865;East Asia & Pacific;New Zealand;;Tokelau;
NIC;-86.2734;12.1475;Latin America & Caribbean ;Nicaragua;Nicaragua;Nicaragua;
NIC;-86.2734;12.1475;Latin America & Caribbean ;Nicaragua;Contras (Nicaragua)*;; Nicaragua
NER;2.1073;13.514;Sub-Saharan Africa ;Niger;Niger;Niger; Niger
NGA;7.48906;9.05804;Sub-Saharan Africa ;Nigeria;Nigeria;Nigeria; Nigeria
NGA;7.48906;9.05804;Sub-Saharan Africa ;Nigeria;Biafra;;
MKD;21.4361;42.0024;Europe & Central Asia;North Macedonia;Macedonia (FYROM);TFYR Macedonia; The former Yugoslav Republic of Macedonia
MKD;21.4361;42.0024;Europe & Central Asia;North Macedonia;NLA (Macedonia)*;;
MNP;145.765;15.1935;East Asia & Pacific;Northern Mariana Islands;;Northern Mariana Islands;
NOR;10.7387;59.9138;Europe & Central Asia;Norway;Norway;Norway; Norway
OMN;58.5874;23.6105;Middle East & North Africa;Oman;Oman;Oman; Oman
PAK;72.8;30.5167;South Asia;Pakistan;Pakistan;Pakistan; Pakistan
PLW;134.479;7.34194;East Asia & Pacific;Palau;Palau;Palau; Palau
PAN;-79.5188;8.99427;Latin America & Caribbean ;Panama;Panama;Panama; Panama
