"iso3c","country","long","lat","region"
"JOR","Jordan","35.9263","31.9497","Middle East & North Africa"
"JPN","Japan","139.77","35.67","East Asia & Pacific"
"KAZ","Kazakhstan","71.4382","51.1879","Europe & Central Asia"
"KEN","Kenya","36.8126","-1.27975","Sub-Saharan Africa "
"KGZ","Kyrgyz Republic","74.6057","42.8851","Europe & Central Asia"
"KHM","Cambodia","104.874","11.5556","East Asia & Pacific"
"KIR","Kiribati","172.979","1.32905","East Asia & Pacific"
"KNA","St. Kitts and Nevis","-62.7309","17.3","Latin America & Caribbean "
"KOR","Korea, Rep.","126.957","37.5323","East Asia & Pacific"
"KWT","Kuwait","47.9824","29.3721","Middle East & North Africa"
"LAO","Lao PDR","102.177","18.5826","East Asia & Pacific"
"LBN","Lebanon","35.5134","33.8872","Middle East & North Africa"
"LBR","Liberia","-10.7957","6.30039","Sub-Saharan Africa "
"LBY","Libya","13.1072","32.8578","Middle East & North Africa"
"LCA","St. Lucia","-60.9832","14","Latin America & Caribbean "
"LIE","Liechtenstein","9.52148","47.1411","Europe & Central Asia"
"LKA","Sri Lanka","79.8528","6.92148","South Asia"
"LSO","Lesotho","27.7167","-29.5208","Sub-Saharan Africa "
"LTU","Lithuania","25.2799","54.6896","Europe & Central Asia"
"LUX","Luxembourg","6.1296","49.61","Europe & Central Asia"
"LVA","Latvia","24.1048","56.9465","Europe & Central Asia"
"MAC","Macao SAR, China","113.55","22.1667","East Asia & Pacific"
"MAF","St. Martin (French part)",,,"Latin America & Caribbean "
"MAR","Morocco","-6.8704","33.9905","Middle East & North Africa"
"MCO","Monaco","7.41891","43.7325","Europe & Central Asia"
"MDA","Moldova","28.8497","47.0167","Europe & Central Asia"
"MDG","Madagascar","45.7167","-20.4667","Sub-Saharan Africa "
"MDV","Maldives","73.5109","4.1742","South Asia"
"MEX","Mexico","-99.1276","19.427","Latin America & Caribbean "
"MHL","Marshall Islands","171.135","7.11046","East Asia & Pacific"
"MKD","North Macedonia","21.4361","42.0024","Europe & Central Asia"
"MLI","Mali","-7.50034","13.5667","Sub-Saharan Africa "
"MLT","Malta","14.5189","35.9042","Middle East & North Africa"
"MMR","Myanmar","95.9562","21.914","East Asia & Pacific"
"MNE","Montenegro","19.2595","42.4602","Europe & Central Asia"
"MNG","Mongolia","106.937","47.9129","East Asia & Pacific"
"MNP","Northern Mariana Islands","145.765","15.1935","East Asia & Pacific"
"MOZ","Mozambique","32.5713","-25.9664","Sub-Saharan Africa "
"MRT","Mauritania","-15.9824","18.2367","Sub-Saharan Africa "
"MUS","Mauritius","57.4977","-20.1605","Sub-Saharan Africa "
"MWI","Malawi","33.7703","-13.9899","Sub-Saharan Africa "
"MYS","Malaysia","101.684","3.12433","East Asia & Pacific"
"NAM","Namibia","17.0931","-22.5648","Sub-Saharan Africa "
"NCL","New Caledonia","166.464","-22.2677","East Asia & Pacific"
"NER","Niger","2.1073","13.514","Sub-Saharan Africa "
"NGA","Nigeria","7.48906","9.05804","Sub-Saharan Africa "
"NIC","Nicaragua","-86.2734","12.1475","Latin America & Caribbean "
"NLD","Netherlands","4.89095","52.3738","Europe & Central Asia"
"NOR","Norway","10.7387","59.9138","Europe & Central Asia"
"NPL","Nepal","85.3157","27.6939","South Asia"
"NRU","Nauru","166.920867","-0.5477","East Asia & Pacific"
"NZL","New Zealand","174.776","-41.2865","East Asia & Pacific"
"OMN","Oman","58.5874","23.6105","Middle East & North Africa"
"PAK","Pakistan","72.8","30.5167","South Asia"
"PAN","Panama","-79.5188","8.99427","Latin America & Caribbean "
"PER","Peru","-77.0465","-12.0931","Latin America & Caribbean "
"PHL","Philippines","121.035","14.5515","East Asia & Pacific"
"PLW","Palau","134.479","7.34194","East Asia & Pacific"
"PNG","Papua New Guinea","147.194","-9.47357","East Asia & Pacific"
"POL","Poland","21.02","52.26","Europe & Central Asia"
"PRI","Puerto Rico","-66","18.23","Latin America & Caribbean "
"PRK","Korea, Dem. People’s Rep.","125.754","39.0319","East Asia & Pacific"
"PRT","Portugal","-9.13552","38.7072","Europe & Central Asia"
"PRY","Paraguay","-57.6362","-25.3005","Latin America & Caribbean "
"PSE","West Bank and Gaza",,,"Middle East & North Africa"
"PYF","French Polynesia","-149.57","-17.535","East Asia & Pacific"
"QAT","Qatar","51.5082","25.2948","Middle East & North Africa"
"ROU","Romania","26.0979","44.4479","Europe & Central Asia"
"RUS","Russian Federation","37.6176","55.7558","Europe & Central Asia"
"RWA","Rwanda","30.0587","-1.95325","Sub-Saharan Africa "
"SAU","Saudi Arabia","46.6977","24.6748","Middle East & North Africa"
"SDN","Sudan","32.5363","15.5932","Sub-Saharan Africa "
"SEN","Senegal","-17.4734","14.7247","Sub-Saharan Africa "
"SGP","Singapore","103.85","1.28941","East Asia & Pacific"
"SLB","Solomon Islands","159.949","-9.42676","East Asia & Pacific"
"SLE","Sierra Leone","-13.2134","8.4821","Sub-Saharan Africa "
"SLV","El Salvador","-89.2073","13.7034","Latin America & Caribbean "
"SMR","San Marino","12.4486","43.9322","Europe & Central Asia"
"SOM","Somalia","45.3254","2.07515","Sub-Saharan Africa "
"SRB","Serbia","20.4656","44.8024","Europe & Central Asia"
"SSD","South Sudan","31.6","4.85","Sub-Saharan Africa "
"STP","Sao Tome and Principe","6.6071","0.20618","Sub-Saharan Africa "
"SUR","Suriname","-55.1679","5.8232","Latin America & Caribbean "
"SVK","Slovak Republic","17.1073","48.1484","Europe & Central Asia"
"SVN","Slovenia","14.5044","46.0546","Europe & Central Asia"
"SWE","Sweden","18.0645","59.3327","Europe & Central Asia"
"SWZ","Eswatini","31.4659","-26.5225","Sub-Saharan Africa "
"SXM","Sint Maarten (Dutch part)",,,"Latin America & Caribbean "
"SYC","Seychelles","55.4466","-4.6309","Sub-Saharan Africa "
"SYR","Syrian Arab Republic","36.3119","33.5146","Middle East & North Africa"
"TCA","Turks and Caicos Islands","-71.141389","21.4602778","Latin America & Caribbean "
"TCD","Chad","15.0445","12.1048","Sub-Saharan Africa "
"TGO","Togo","1.2255","6.1228","Sub-Saharan Africa "
"THA","Thailand","100.521","13.7308","East Asia & Pacific"
"TJK","Tajikistan","68.7864","38.5878","Europe & Central Asia"
"TKM","Turkmenistan","58.3794","37.9509","Europe & Central Asia"
"TLS","Timor-Leste","125.567","-8.56667","East Asia & Pacific"
"TON","Tonga","-175.216","-21.136","East Asia & Pacific"
"TTO","Trinidad and Tobago","-61.4789","10.6596","Latin America & Caribbean "
"TUN","Tunisia","10.21","36.7899","Middle East & North Africa"
"TUR","Turkey","32.3606","39.7153","Europe & Central Asia"
"TUV","Tuvalu","179.089567","-8.6314877","East Asia & Pacific"
"TWN","Taiwan, China",,,"East Asia & Pacific"
"TZA","Tanzania","35.7382","-6.17486","Sub-Saharan Africa "
"UGA","Uganda","32.5729","0.314269","Sub-Saharan Africa "
"UKR","Ukraine","30.5038","50.4536","Europe & Central Asia"
"URY","Uruguay","-56.0675","-34.8941","Latin America & Caribbean "
"USA","United States","-77.032","38.8895","North America"
"UZB","Uzbekistan","69.269","41.3052","Europe & Central Asia"
"VCT","St. Vincent and the Grenadines","-61.2653","13.2035","Latin America & Caribbean "
"VEN","Venezuela, RB","-69.8371","9.08165","Latin America & Caribbean "
"VGB","British Virgin Islands","-64.623056","18.431389","Latin America & Caribbean "
"VIR","Virgin Islands (U.S.)","-64.8963","18.3358","Latin America & Caribbean "
"VNM","Vietnam","105.825","21.0069","East Asia & Pacific"
"VUT","Vanuatu","168.321","-17.7404","East Asia & Pacific"
"WSM","Samoa","-171.752","-13.8314","East Asia & Pacific"
"XKX","Kosovo","20.926","42.565","Europe & Central Asia"
"YEM","Yemen, Rep.","44.2075","15.352","Middle East & North Africa"
"ZAF","South Africa","28.1871","-25.746","Sub-Saharan Africa "
"ZMB","Zambia","28.2937","-15.3982","Sub-Saharan Africa "
"ZWE","Zimbabwe","31.0672","-17.8312","Sub-Saharan Africa "
